"[0] CarFuelTypeComparatorLevenshtein","[1] CarModelComparatorLevenshtein","[2] CarModelComparatorMaximumTokenContainment","[3] CarModelComparatorTokenizingJaccard","[4] CarModelComparatorLevenshtein","[5] CarTransmissionComparatorLevenshtein","label"
"0.25","0.33333333333333337","1.0","0.5","0.33333333333333337","0.6","1"
"0.1875","0.15625","0.5","0.16666666666666666","0.15625","0.5","0"
"0.25","0.22580645161290325","0.3333333333333333","0.125","0.22580645161290325","0.5","1"
"0.25","0.31818181818181823","0.3333333333333333","0.2","0.31818181818181823","0.6","1"
"1.0","0.19354838709677424","0.0","0.0","0.19354838709677424","0.5","0"
"0.25","0.33333333333333337","0.3333333333333333","0.14285714285714285","0.33333333333333337","0.5","1"
"0.25","0.125","1.0","0.2","0.125","0.5","1"
"1.0","0.5333333333333333","1.0","0.5","0.5333333333333333","0.6428571428571428","1"
"0.25","0.1707317073170732","1.0","0.16666666666666666","0.1707317073170732","0.5","0"
"0.1875","0.6470588235294117","1.0","0.5","0.6470588235294117","0.19999999999999996","0"
"0.25","0.30434782608695654","1.0","0.4","0.30434782608695654","0.6","1"
"1.0","1.0","1.0","1.0","1.0","0.5","1"
"0.25","0.33333333333333337","0.3333333333333333","0.14285714285714285","0.33333333333333337","0.5","1"
"0.25","0.4444444444444444","0.5","0.2","0.4444444444444444","0.6","1"
"0.25","0.5","1.0","0.3333333333333333","0.5","0.6","0"
"0.25","0.36363636363636365","0.6666666666666666","0.5","0.36363636363636365","0.5","1"
"1.0","0.5333333333333333","1.0","0.5","0.5333333333333333","0.6428571428571428","1"
"0.25","1.0","1.0","1.0","1.0","0.5","1"
"0.25","0.17391304347826086","0.0","0.0","0.17391304347826086","0.6","1"
"0.25","0.2068965517241379","0.25","0.1111111111111111","0.2068965517241379","0.6","1"
"0.25","1.0","1.0","1.0","1.0","0.6","1"
"0.25","0.4444444444444444","1.0","0.5","0.4444444444444444","0.1333333333333333","0"
"0.1875","0.25806451612903225","0.3333333333333333","0.125","0.25806451612903225","0.5","0"
"1.0","0.23529411764705888","0.0","0.0","0.23529411764705888","0.5","0"
"0.1875","0.19999999999999996","0.0","0.0","0.19999999999999996","0.1333333333333333","0"
"1.0","0.17647058823529416","0.0","0.0","0.17647058823529416","0.5","0"
"1.0","0.23529411764705888","0.0","0.0","0.23529411764705888","0.5","0"
"1.0","0.2222222222222222","0.5","0.3333333333333333","0.2222222222222222","0.5","1"
"0.25","0.5","1.0","0.2","0.5","0.6","1"
"1.0","0.2222222222222222","0.5","0.3333333333333333","0.2222222222222222","0.5","1"
